compound_id,base_rdkit_smiles,relation,activity_value
CHEMBL609020,CNCc1ccc(-n2cc3cc(F)cc(C(N)=O)c3n2)cc1F,,8.698970004336019
gvk_125402692,Cn1c2cccc(C(N)=O)c2c(=O)n1C1CCN(C2CCCCC2)CC1,,7.585026652029182
gvk_15338982,CCc1cc2ccc(C(C)(C#N)Cc3cccc(C(=O)OC)c3)cc2[nH]c1=O,,6.3
gvk_15065399,COc1cccc(C(N)=O)c1OCc1ccc(F)c(C(=O)N2CCN(C(=O)c3cc4c(C(F)(F)F)nn(C)c4s3)CC2)c1,,5.0
gvk_15346009,CCc1cc(Cc2ccc(F)c(C(=O)N3CCN(c4ccccc4)C(=O)C3)c2)n[nH]c1=O,>,8.301029995663981
gvk_122317305,O=C(CCc1nc2ccc(F)cc2c(=O)[nH]1)N[C@H]1CC[C@H](c2nnc(-c3ccccc3)o2)CC1,,6.028724151261895
CHEMBL3317902,COc1ccc(CC(=O)N2CCN(C(=O)c3csc(Cc4n[nH]c(=O)c5ccccc45)c3)CC2)cc1,,7.022825323979813
CHEMBL195966,CN1CC(=O)N(c2cc(Cc3nnc(O)c4ccccc34)ccc2F)C(=O)C1,,8.022276394711152
gvk_15065072,C#CC1(NC(=O)C2CCN(C(=O)c3cccc(Cc4n[nH]c(=O)c5ccccc45)c3)CC2)CCCCC1,>,7.698970004336019
CHEMBL4168250,Cc1ccc2nc3ccccc3c(Nc3cccc(-c4nc5c(C(N)=O)cccc5[nH]4)c3)c2c1,,6.292429823902063
gvk_15329253,Cc1c(Cc2ccc(F)c(C(=O)N3CCN(C(=O)C4([NH+](C)C)CC4)CC3)c2)n[nH]c(=O)c1C,>,5.301029995663981
gvk_125528561,CNC(=O)c1ccc(N2CCN(Cc3ccc4nc(OC)c(=O)[nH]c4c3F)CC2)c(C)n1,,7.958607314841775
gvk_125528581,CNC(=O)c1ccc(N2CCN(Cc3ccc4nc(C)c(=O)[nH]c4c3C)CC2)c(C(F)F)n1,,7.638272163982407
gvk_15323548,O=C1CCn2c(-c3ccc(-c4cccnc4)cc3)nc3cccc1c32,>,5.0
gvk_121100923,CCNC(=O)c1ccc(N2CCN(Cc3cnc4c(c3)NC(=O)[C@@H]3CCCCN43)CC2)c(F)c1,,7.4
CHEMBL2237226,CCN1CCN(C(=O)c2ccc3[nH]c(=O)c4c(c3c2)CCSC4)CC1,,7.327902142064282
gvk_122317273,O=C(CCCc1nc2ccccc2c(=O)[nH]1)N1CCN(c2nsc3ccccc23)CC1,,5.7544873321858505
gvk_15336361,CN1CCC(c2cc3ccccc3c(=O)[nH]2)CC1,,7.468521082957745
gvk_15347490,O=C(NCc1ccncc1)c1ccc2c(c1)[nH]c(=O)c1cc(Cl)c(Cl)n12,>,5.301029995663981
gvk_125375999,CC1(c2cnn3c2[nH]c2cc(F)cc(C(N)=O)c23)CCN(CCS(C)(=O)=O)C1,<,9.0
gvk_15065246,CC(C)(C)OC(=O)N1CCN(C(=O)c2cccc(Cc3n[nH]c(=O)c4ccccc34)n2)CC1,>,7.0
CHEMBL3105401,O=C(CCc1nc2ccccc2c(=O)[nH]1)N1CCN(C(=O)C2CCCO2)CC1,,6.886056647693163
gvk_125199467,CCc1cc2ncc(CN3CCN(c4ccc(C(=O)NC)nc4F)CC3)cc2[nH]c1=O,,8.698970004336019
CHEMBL4175833,CC(C)(C)OC(=O)N1CCC2(CC1)CCN(C(=O)c1cc(Cc3n[nH]c(=O)c4ccccc34)ccc1F)C2,,5.95663772197887
CHEMBL482012,O=C(Nc1nc(-c2ccccc2)cs1)c1ccncc1,,6.123205023799299
gvk_15325478,COc1ccc([C@@H]2NC(=O)c3cccc4c3N2CC[C@@H]4N)cc1[N+](=O)[O-],,6.0
gvk_122858842,COCC12CNCCC1(c1ccc(-n3cc4cccc(C(N)=O)c4n3)cc1)C2,,7.148130399270234
CHEMBL433965,O=S(=O)(c1cc2c(cc1F)-c1nc(O)c3ccccc3c1C2)n1ccnc1,,6.301029995663981
gvk_20162609,CCCCCN1CCCN(C(=O)c2cc(Cc3n[nH]c(=O)c4ccccc34)ccc2F)CC1,>,8.0
gvk_125379020,Cc1c(CN2CCN(C(=O)c3cc4cccc(C(N)=O)c4o3)CC2)sc2c(N3CCOCC3)nc(-c3ccc4[nH]ccc4c3)nc12,,7.499489089473663
gvk_121938681,COc1ccc(-c2cn3cccc3c(=O)[nH]2)cc1OC,,5.522878745280337
gvk_15341824,COCCCc1ccc(OC(=O)CNCc2ccc(Oc3ccccc3)cc2)c(O)c1,>,4.698970004336019
gvk_15323162,O=C1NC(c2ccccc2)n2c3ccccc3c(=O)c3cccc1c32,,6.94692155651658
gvk_15327315,CCc1cc(-c2ccc(CNCCOC)s2)c(C)[nH]c1=O,,6.200659450546418
gvk_15327446,CCc1cc(-c2ccc(S(=O)(=O)NCc3c[nH]c4ccccc34)s2)c(C)[nH]c1=O,,7.221848749616356
CHEMBL3291326,CN(C)C1CCN(C(=O)c2cc3c(n2C)-c2ccccc2C(=O)NC3)CC1,,5.191856574238509
CHEMBL3644585,O=c1[nH]nc2c3c(cccc13)N=C(CNCCc1ccccc1)N2,,7.356547323513812
gvk_15341185,CCOC(=O)C1CCN(S(=O)(=O)c2ccc3[nH]c(=O)c4ccccc4c3c2)CC1,,6.698970004336019
gvk_15339260,CCc1cc2ccc([C@](C)(C#N)Cc3cccc(C#CCO)c3)cc2[nH]c1=O,,7.5
gvk_15329189,CCc1cc(Cc2ccc(F)c(C(=O)N3CCC(c4cc[nH+]cc4)C3)c2)n[nH]c1=O,>,5.301029995663981
gvk_122340065,Cn1ccc2c(=O)[nH]c(N3CCN(c4ccc(F)cc4S(C)(=O)=O)CC3)nc21,,5.927382523454764
gvk_15064891,O=C(Nc1cccc(Cc2n[nH]c(=O)c3ccccc23)c1)NC1CCN(C(=O)OCc2ccccc2)CC1,>,6.0
CHEMBL3237591,O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F)N1CCN(/[N+]([O-])=N/Oc2ccc([N+](=O)[O-])cc2[N+](=O)[O-])CC1,,7.887087004269054
gvk_15339053,CCc1cc2ccc(C(C)(C#N)Cc3c(C)cccc3C)cc2[nH]c1=O,,5.9
gvk_121295686,NCCOc1c(-c2ccccc2)[nH]c(=O)c2cc(F)ccc12,,7.221848749616356
CHEMBL3932754,COc1ccc(C(=O)C2CCN(CC(=O)NCc3nc4c(c(=O)[nH]3)CCC4)CC2)cc1,,4.747146969020107
gvk_15325454,N[C@H]1CCN2c3c(cccc31)C(=O)N[C@@H]2c1ccccc1,,6.0
CHEMBL194535,Oc1nc2cc(CN3CCOCC3)ccc2c2ccccc12,,7.638272163982407
gvk_125380577,C[N+]1(CC(=O)OC2CCCCCCCCCCC2)CCC(Cc2ccccc2)CC1,,7.209011524911184
gvk_123272532,O=C(c1ccc(F)cc1)N1CCN(C(=O)c2cc(Cc3n[nH]c(=O)c4ccccc34)ccc2F)CC1,,8.470761372537282
gvk_15341823,O=C(CSCc1ccc(CCOc2ccccc2)cc1)Oc1ccc(CCCCF)cc1O,>,4.698970004336019
gvk_15346007,Cc1c(Cc2ccc(F)c(C(=O)N3CCN(C4CCCC4)C(=O)C3)c2)n[nH]c(=O)c1C,>,8.301029995663981
gvk_123562735,C[C@@H]1CN(C(=O)c2cc(Cn3c(=O)[nH]c(=O)c4ccccc43)ccc2F)CCN1CC1CC1,,8.344861565188618
CHEMBL3629672,O=C1NCCc2ccc(F)cc21,,4.0
CHEMBL332444,NC(=O)c1ccc(N)cc1,,2.744727494896693
gvk_20237351,O=C1NC(=O)c2ccc(Cl)c3cccc1c23,,6.337242168318426
gvk_15333863,O=c1[nH]c2ccc(S(=O)(=O)NCCc3ccncc3)c3c2c2c(cccc12)C3,,7.154901959985743
gvk_15065265,O=C(c1ccc(Cc2n[nH]c(=O)c3ccccc23)o1)N1CCN(c2ccccc2F)CC1,>,6.0
CHEMBL3290468,NC(=O)c1cccc2c1O/C(=C\c1ccccc1)C2=O,,5.665045056340975
gvk_15064985,O=C1CC(c2ccccc2)C(=O)N1c1cccc(Cc2n[nH]c(=O)c3ccccc23)c1,>,7.522878745280337
CHEMBL53738,O=c1cc(-c2ccc(F)cc2)oc2ccccc12,,5.002182402701225
CHEMBL3740897,C[C@H]1Cn2c(nnc2C(C)(F)F)CN1C(=O)c1cccc(C(F)(F)c2n[nH]c(=O)c3ccccc23)c1,>,7.522878745280337
CHEMBL203884,CN(CCc1c[nH]cn1)C(=O)c1ccc2[nH]c3c4c(c5c(c3c2c1)CNC5=O)CCC4,,6.79317412396815
gvk_124501081,C[C@](O)(CS(=O)(=O)c1ccc(OCCCCCCN2CCN(C(=O)c3cc(Cc4n[nH]c(=O)c5ccccc45)ccc3F)CC2)cc1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1,,8.221848749616356
CHEMBL1935277,CN1N=C(c2ccc3[nH]c4c5c(c6c(c4c3c2)C(=O)NC6=O)CCC5)CCC1=O,,7.920818753952375
gvk_20162856,CSCCCN1CCCN(C(=O)c2cccc(Cc3n[nH]c(=O)c4ccccc34)c2)CC1,>,7.698970004336019
gvk_121404789,O=C(c1cccc(Cn2c(=O)[nH]c(=O)c3ccccc32)c1)N1CCN(c2ccccn2)CC1,,8.3767507096021
gvk_122347027,O=c1[nH]c(C2=C[C@H](N3CC=C(c4ccc(F)cc4)CC3)CC2)nc2c1CC1(CC2)CC1,,9.0
gvk_15327874,O=C(NCc1ccc(-c2c[nH]c(=O)c3c2CCCC3)o1)c1cccnc1,,6.102372908709558
gvk_125375908,CC(C)(F)CN1CCC(c2cnn3c2[nH]c2cc(F)cc(C(N)=O)c23)CC1,<,9.0
gvk_13151356,CN1CCC(CC(=O)NCCc2c[nH]c3ccc4c(c23)CCNC4=O)CC1,,7.0
gvk_14621894,O=C(O)CCC(=O)NCc1ccc2[nH]c3c4c(c5c(c3c2c1)C(=O)NC5=O)CCC4,,7.301029995663981
gvk_15327794,O=c1[nH]cc(Nc2ccc(N3CCOCC3)nc2)c2c1CCCC2,,5.197226274708024
gvk_125841892,CN(C(=O)c1cc(Cn2c(=O)[nH]c(=O)c3ccccc32)ccc1F)C1CCNC1,,8.2839966563652
gvk_15353933,Cc1c(Cc2ccc(F)c(C(=O)N3CCN(c4ccc(F)cc4)C(=O)C3)c2)n[nH]c(=O)c1C,,9.060480747381382
CHEMBL4287485,Cc1cc(C(N)=O)c2nc(-c3cc4c(s3)CNCC4)[nH]c2c1,,6.462180904926726
CHEMBL3653089,CCCOc1cc(CN)cc2[nH]c(=O)c3c(c12)NCCC3,,6.721246399047171
gvk_123764446,Cc1nc2cc(-c3cc(Cc4n[nH]c(=O)c5ccccc45)ccc3F)cnc2[nH]1,,8.38933983691012
gvk_15065900,O=C(c1cc(Cc2n[nH]c(=O)c3c2CCCC3)ccc1F)N1CCC(Oc2ccccn2)CC1,,8.397940008672037
gvk_122529408,CN1C(=O)C2CN(C(=O)c3cc(Cc4n[nH]c(=O)c5ccccc45)ccc3F)CC2C1=O,,7.904133546521457
gvk_125398495,O=C1CN(Cc2cn(-c3ccccc3F)nn2)C2(CCCCC2)c2ccccc21,,7.84103473961659
gvk_123425940,Cc1cccnc1N1CCN(Cc2ccc3c4c(c(=O)[nH]c3c2)CCCN4)CC1,,8.260427655549908
gvk_123071726,Cn1cnnc1[C@H]1c2n[nH]c(=O)c3cccc(c23)N[C@@H]1c1ccc(F)cc1,,8.835647144215564
gvk_121168610,O=C(c1ccc(F)cc1)C1CCN(CCCn2c(=O)[nH]c(=O)c3ccccc32)CC1,,5.566
gvk_15339221,CCc1cc2ccc(C(C)(C#N)Cc3cccc(NC)c3)cc2[nH]c1=O,,7.1
gvk_15064913,CCCC(c1ccccc1)c1n[nH]c(=O)c2ccccc12,>,5.301029995663981
gvk_122317286,O=C(CCSc1nc2ccccc2c(=O)[nH]1)N1CCC(n2c(=O)[nH]c3cc(Cl)ccc32)CC1,,5.832682665251824
gvk_125199480,CCCc1nc2ccc(CN3CCN(c4ccc(C(=O)NC)nc4)CC3)cc2[nH]c1=O,,7.508638306165727
gvk_15355036,Cc1c(Cc2ccc(F)c(C(=O)N3CCN(C4CCC(c5ccccc5)CC4)C(=O)C3)c2)[nH+][nH]c(=O)c1C,>,8.301029995663981
gvk_123179167,O=C(Cc1ccc(I)cc1)N1CCN(C(=O)c2cc(Cc3n[nH]c(=O)c4ccccc34)ccc2F)CC1,,7.130768280269024
gvk_124119962,O=c1[nH]nc2c3c(cc(F)cc13)NC(c1ccc3c(c1)OCO3)C2c1ccc(F)cc1,,8.222500680409635
Otava_1084029,CCN1C(=O)c2cccc3c(S(=O)(=O)Nc4ccccc4O)ccc1c23,<,3.4001169279263124
gvk_15065434,NC(=O)c1ccccc1OCCc1cccc(C(=O)N2CCN(C(=O)NCc3ccccc3)CC2)c1,>,6.301029995663981
gvk_125528533,CNC(=O)c1ccc(N2CCN(Cc3ccc4nc(C(C)F)c(=O)[nH]c4c3F)CC2)c(F)n1,,7.934833115752497
CHEMBL3763705,Cn1nccc1C1Nc2cc(F)cc3c(=O)[nH]nc(c23)C1c1ncnn1C,,8.540607512240769
gvk_125375914,NCCN1CCC(c2cnn3c2[nH]c2cc(F)cc(C(N)=O)c23)CC1,<,9.0
gvk_15327214,CCc1cc(-c2ccc(S(=O)(=O)N3CCN(c4ccc(F)cc4)CC3)s2)c(C)[nH]c1=O,,6.119186407719209
gvk_122743979,CC(C)(C)OC(=O)N1CC[C@@H](C(=O)Nc2cccc(Cn3c(=O)[nH]c(=O)c4ccccc43)c2)C1,,7.017276612331455
gvk_15346044,CC1=C(C)C(Cc2ccc(F)c(C(=O)N3CCN(c4cc(Cl)cc(Cl)c4)C(=O)C3)c2)=N[NH2+]C1=O,>,8.301029995663981
gvk_123425838,CCOc1cc(CN2CCN(c3ccc(C(=O)NC)cn3)CC2)cc2[nH]c(=O)c3c(c12)NCCC3,,7.737311655698304
gvk_123349544,O=C(c1cccc(Cc2n[nH]c(=O)c3ccccc23)c1)N1CCN(c2ccc3[nH]cnc3n2)CC1,,9.0
gvk_15322175,Cc1cccc2c(=O)[nH]c(CCCN3CCc4c([nH]c5ccccc45)C3)nc12,>,6.301029995663981
Otava_1084333,Cc1nnc(O)nc1Nc1ccc(N2CCCCC2)cc1,<,3.4001169279263124
gvk_15355096,CCc1cc(Cc2ccc(F)c(C(=O)N3CCN(C4CCCOC4)C(=O)C3)c2)[nH+][nH]c1=O,,7.602059991327962
gvk_15336351,CC(C)C1CCN(c2cc3ccccc3c(=O)[nH]2)CC1,,7.154901959985743
gvk_121178794,NC(=O)c1cccc2cc(CN3CCN(c4ccccc4Cl)CC3)oc12,,5.782516055786094
CHEMBL3616846,NCc1nc2sc3c(c2c(=O)[nH]1)CCC3,,4.769551078621726
gvk_14621917,O=C1NC(O)c2c1c1c(c3[nH]c4ccccc4c23)CCC1,,6.38933983691012
gvk_122529419,O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F)N1CC2CN(C(F)F)CC2C1,,7.041197296600497
gvk_121095320,CCc1cc2cc(C(c3ccsc3)N3CCC(=O)CC3)ccc2[nH]c1=O,,5.898
gvk_122570814,CN1CCN(CCCS(=O)(=O)Nc2ccc(/C=C3/Oc4c(C(N)=O)cccc4C3=O)cc2)CC1,,6.94692155651658
